type,simulationRun,threshold,mean_score,max_score,p95_score,n_above,max_consec
normal,195,0.64,0.6270578503608704,0.6793346405029297,0.666084885597229,35,14
normal,195,0.66,0.6270578503608704,0.6793346405029297,0.666084885597229,11,6
normal,195,0.687,0.6270578503608704,0.6793346405029297,0.666084885597229,0,0
normal,215,0.6,0.612598180770874,0.670265793800354,0.6447165012359619,66,40
normal,215,0.62,0.612598180770874,0.670265793800354,0.6447165012359619,37,8
normal,215,0.64,0.612598180770874,0.670265793800354,0.6447165012359619,7,5
normal,215,0.66,0.612598180770874,0.670265793800354,0.6447165012359619,1,1
normal,215,0.687,0.612598180770874,0.670265793800354,0.6447165012359619,0,0
normal,217,0.6,0.6144159436225891,0.687621533870697,0.6783146858215332,53,21
normal,217,0.62,0.6144159436225891,0.687621533870697,0.6783146858215332,40,14
normal,217,0.64,0.6144159436225891,0.687621533870697,0.6783146858215332,25,11
normal,217,0.66,0.6144159436225891,0.687621533870697,0.6783146858215332,12,6
normal,217,0.687,0.6144159436225891,0.687621533870697,0.6783146858215332,1,1
normal,230,0.6,0.6257205605506897,0.696901261806488,0.6680604219436646,73,30
normal,230,0.62,0.6257205605506897,0.696901261806488,0.6680604219436646,50,28
normal,230,0.64,0.6257205605506897,0.696901261806488,0.6680604219436646,22,13
normal,230,0.66,0.6257205605506897,0.696901261806488,0.6680604219436646,10,8
normal,230,0.687,0.6257205605506897,0.696901261806488,0.6680604219436646,2,2
normal,236,0.6,0.6165179014205933,0.6930984258651733,0.6587087512016296,66,36
normal,236,0.62,0.6165179014205933,0.6930984258651733,0.6587087512016296,45,19
normal,236,0.64,0.6165179014205933,0.6930984258651733,0.6587087512016296,23,6
normal,236,0.66,0.6165179014205933,0.6930984258651733,0.6587087512016296,4,2
normal,236,0.687,0.6165179014205933,0.6930984258651733,0.6587087512016296,1,1
normal,259,0.6,0.6156666278839111,0.6567007303237915,0.6444137096405029,70,31
normal,259,0.62,0.6156666278839111,0.6567007303237915,0.6444137096405029,43,13
normal,259,0.64,0.6156666278839111,0.6567007303237915,0.6444137096405029,11,5
normal,259,0.66,0.6156666278839111,0.6567007303237915,0.6444137096405029,0,0
normal,259,0.687,0.6156666278839111,0.6567007303237915,0.6444137096405029,0,0
normal,275,0.6,0.6188418865203857,0.6795847415924072,0.6599257588386536,62,33
normal,275,0.62,0.6188418865203857,0.6795847415924072,0.6599257588386536,43,18
normal,275,0.64,0.6188418865203857,0.6795847415924072,0.6599257588386536,27,15
normal,275,0.66,0.6188418865203857,0.6795847415924072,0.6599257588386536,4,2
normal,275,0.687,0.6188418865203857,0.6795847415924072,0.6599257588386536,0,0
normal,280,0.6,0.6203823089599609,0.6916338205337524,0.6754499673843384,71,55
normal,280,0.62,0.6203823089599609,0.6916338205337524,0.6754499673843384,46,16
normal,280,0.64,0.6203823089599609,0.6916338205337524,0.6754499673843384,16,13
normal,280,0.66,0.6203823089599609,0.6916338205337524,0.6754499673843384,9,6
normal,280,0.687,0.6203823089599609,0.6916338205337524,0.6754499673843384,2,1
normal,283,0.6,0.6229875683784485,0.6852384209632874,0.6646382808685303,74,24
normal,283,0.62,0.6229875683784485,0.6852384209632874,0.6646382808685303,51,21
normal,283,0.64,0.6229875683784485,0.6852384209632874,0.6646382808685303,19,10
normal,283,0.66,0.6229875683784485,0.6852384209632874,0.6646382808685303,7,4
normal,283,0.687,0.6229875683784485,0.6852384209632874,0.6646382808685303,0,0
normal,288,0.6,0.6205591559410095,0.6730549335479736,0.6615534424781799,71,43
normal,288,0.62,0.6205591559410095,0.6730549335479736,0.6615534424781799,50,13
normal,288,0.64,0.6205591559410095,0.6730549335479736,0.6615534424781799,23,7
normal,288,0.66,0.6205591559410095,0.6730549335479736,0.6615534424781799,5,3
normal,288,0.687,0.6205591559410095,0.6730549335479736,0.6615534424781799,0,0
normal,296,0.6,0.6239673495292664,0.6976625919342041,0.6736592054367065,71,40
normal,296,0.62,0.6239673495292664,0.6976625919342041,0.6736592054367065,46,14
normal,296,0.64,0.6239673495292664,0.6976625919342041,0.6736592054367065,25,9
normal,296,0.66,0.6239673495292664,0.6976625919342041,0.6736592054367065,8,5
normal,296,0.687,0.6239673495292664,0.6976625919342041,0.6736592054367065,1,1
normal,302,0.6,0.5991091728210449,0.6719624996185303,0.6681323051452637,33,20
normal,302,0.62,0.5991091728210449,0.6719624996185303,0.6681323051452637,19,16
normal,302,0.64,0.5991091728210449,0.6719624996185303,0.6681323051452637,11,11
normal,302,0.66,0.5991091728210449,0.6719624996185303,0.6681323051452637,7,4
normal,302,0.687,0.5991091728210449,0.6719624996185303,0.6681323051452637,0,0
normal,303,0.6,0.6191415190696716,0.6847800612449646,0.6683943867683411,55,36
normal,303,0.62,0.6191415190696716,0.6847800612449646,0.6683943867683411,46,31
normal,303,0.64,0.6191415190696716,0.6847800612449646,0.6683943867683411,40,26
normal,303,0.66,0.6191415190696716,0.6847800612449646,0.6683943867683411,12,4
normal,303,0.687,0.6191415190696716,0.6847800612449646,0.6683943867683411,0,0
normal,309,0.6,0.6263992190361023,0.6740627884864807,0.6611647009849548,80,38
normal,309,0.62,0.6263992190361023,0.6740627884864807,0.6611647009849548,52,25
normal,309,0.64,0.6263992190361023,0.6740627884864807,0.6611647009849548,29,13
normal,309,0.66,0.6263992190361023,0.6740627884864807,0.6611647009849548,6,2
normal,309,0.687,0.6263992190361023,0.6740627884864807,0.6611647009849548,0,0
normal,310,0.6,0.6159113645553589,0.6994885206222534,0.6769264936447144,70,16
normal,310,0.62,0.6159113645553589,0.6994885206222534,0.6769264936447144,31,11
normal,310,0.64,0.6159113645553589,0.6994885206222534,0.6769264936447144,11,6
normal,310,0.66,0.6159113645553589,0.6994885206222534,0.6769264936447144,6,6
normal,310,0.687,0.6159113645553589,0.6994885206222534,0.6769264936447144,3,2
normal,317,0.6,0.6066766977310181,0.6646668910980225,0.6495718359947205,58,40
normal,317,0.62,0.6066766977310181,0.6646668910980225,0.6495718359947205,35,9
normal,317,0.64,0.6066766977310181,0.6646668910980225,0.6495718359947205,10,5
normal,317,0.66,0.6066766977310181,0.6646668910980225,0.6495718359947205,3,2
normal,317,0.687,0.6066766977310181,0.6646668910980225,0.6495718359947205,0,0
normal,322,0.6,0.6185311675071716,0.6600066423416138,0.6564332842826843,70,16
normal,322,0.62,0.6185311675071716,0.6600066423416138,0.6564332842826843,45,13
normal,322,0.64,0.6185311675071716,0.6600066423416138,0.6564332842826843,15,8
normal,322,0.66,0.6185311675071716,0.6600066423416138,0.6564332842826843,1,1
normal,322,0.687,0.6185311675071716,0.6600066423416138,0.6564332842826843,0,0
normal,328,0.6,0.6191874742507935,0.6732181310653687,0.6544800996780396,63,27
normal,328,0.62,0.6191874742507935,0.6732181310653687,0.6544800996780396,43,25
normal,328,0.64,0.6191874742507935,0.6732181310653687,0.6544800996780396,26,9
normal,328,0.66,0.6191874742507935,0.6732181310653687,0.6544800996780396,2,2
normal,328,0.687,0.6191874742507935,0.6732181310653687,0.6544800996780396,0,0
normal,333,0.6,0.6189751625061035,0.6991671919822693,0.6719274520874023,62,21
normal,333,0.62,0.6189751625061035,0.6991671919822693,0.6719274520874023,37,20
normal,333,0.64,0.6189751625061035,0.6991671919822693,0.6719274520874023,18,13
normal,333,0.66,0.6189751625061035,0.6991671919822693,0.6719274520874023,8,7
normal,333,0.687,0.6189751625061035,0.6991671919822693,0.6719274520874023,2,2
normal,347,0.6,0.6226105690002441,0.6574768424034119,0.6537410616874695,77,35
normal,347,0.62,0.6226105690002441,0.6574768424034119,0.6537410616874695,47,19
normal,347,0.64,0.6226105690002441,0.6574768424034119,0.6537410616874695,23,6
normal,347,0.66,0.6226105690002441,0.6574768424034119,0.6537410616874695,0,0
