type,simulationRun,relationship,score_type,mean_score,max_score,p95_score,n_above_p99,max_consec_p99,event_p99
normal,45,pair_Reactor_Feed_Rate_vs_Reactor_Temperature,pair_correlation_deviation,0.8212886878419905,2.7541268490573074,2.341361649432763,3,2,0
normal,45,pair_Separator_Temperature_vs_Separator_Pressure,pair_correlation_deviation,0.6773780532283116,2.12033874281386,1.9295165575454332,0,0,0
normal,45,pair_Reactor_Temperature_vs_Reactor_Pressure,pair_correlation_deviation,0.7700113612066688,2.5554793613364004,1.718522996000754,1,1,0
normal,45,lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag5,lagged_correlation_deviation,0.6484655698251699,1.9186980695779323,1.5846239927258559,0,0,0
normal,45,lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag5,lagged_correlation_deviation,0.5071644536835589,1.4849117639043485,1.0425007668563002,0,0,0
normal,45,lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag5,lagged_correlation_deviation,0.7819128907693773,2.1531837004431384,1.7424455906526852,0,0,0
normal,45,lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag10,lagged_correlation_deviation,1.0610903893632557,2.6622754644567066,2.2701014288235233,1,1,0
normal,45,lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag10,lagged_correlation_deviation,0.7121786883279608,2.1648454399326846,1.842477723138425,0,0,0
normal,45,lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag10,lagged_correlation_deviation,0.6126241024559279,2.089904799500404,1.5518475155698883,0,0,0
normal,48,act_Reactor_Cooling_Water_Flow->Reactor_Temperature,actuator_process_residual,0.8500995059092324,1.0275439051094133,0.9641116082564037,1,1,0
normal,48,act_Reactor_Cooling_Water_Outlet_Temperature->Reactor_Temperature,actuator_process_residual,0.8138133212121436,1.104987133128603,1.0354433428935912,4,3,1
normal,48,act_Reactor_Temperature->Reactor_Pressure,actuator_process_residual,0.7738485803531577,1.4930297439354836,1.191771457834861,0,0,0
